                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0465,                  3.745,                 1.8875,                0.00388,                0.65119,                0.00795,                0.00234,                 1.6011,                 3.5141,                 1.6167,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 1.9291,                  3.648,                 1.7939,                0.00593,                  0.925,                0.28859,                0.14947,                 1.2614,                 3.2758,                 1.2291,             0.00014929,             0.00014929,             0.00014929
                      3,                 1.6621,                 2.9451,                 1.4905,                0.00595,                   0.95,                0.46787,                0.27414,                   1.19,                 3.0113,                  1.095,             0.00023107,             0.00023107,             0.00023107
                      4,                 1.6811,                 2.2761,                 1.4553,                0.00607,                  0.975,                0.52104,                0.29484,                 1.2523,                 2.8198,                 1.1152,             0.00031203,             0.00031203,             0.00031203
                      5,                 1.5699,                 2.2216,                 1.4241,                0.00607,                  0.975,                0.56224,                0.22323,                 1.2925,                 2.8895,                 1.1627,             0.00039216,             0.00039216,             0.00039216
                      6,                 1.5267,                 2.0646,                 1.3258,                0.00624,                      1,                0.57801,                0.29958,                 1.3559,                 2.6822,                 1.0982,             0.00047147,             0.00047147,             0.00047147
                      7,                 1.4654,                 1.9416,                 1.3114,                0.42437,                0.58095,                0.48969,                0.21647,                 1.4862,                 2.8494,                 1.2477,             0.00054995,             0.00054995,             0.00054995
                      8,                 1.4848,                 1.8907,                 1.3224,                      1,                0.11423,                0.47914,                0.23931,                 1.5174,                 2.8485,                 1.2614,              0.0006276,              0.0006276,              0.0006276
                      9,                 1.4332,                 1.7678,                 1.3001,                      1,                0.20511,                0.52448,                0.27035,                  1.533,                 2.8318,                 1.3036,             0.00070443,             0.00070443,             0.00070443
                     10,                 1.3856,                 1.6464,                  1.242,                0.90387,                0.28571,                0.51641,                0.28679,                 1.5208,                 2.6898,                 1.2834,             0.00078044,             0.00078044,             0.00078044
                     11,                 1.3992,                 1.5616,                 1.2422,                0.91479,                0.34801,                0.57175,                0.32294,                 1.4995,                 2.6657,                  1.273,             0.00085562,             0.00085562,             0.00085562
